Number of Processors;Number of Threads;K-Value;Generic Runtime (microseconds);Modified Runtime(microseconds);Which is faster?
4;2;200;1748;111;mod faster
4;4;200;6416;234;mod faster
4;8;200;9944;280;mod faster
4;16;200;3060;479;mod faster
4;32;200;10931;1173;mod faster
4;64;200;5137;2619;mod faster
4;128;200;11949;9980;mod faster
4;256;200;27119;11333;mod faster
4;2;400;1728;144;mod faster
4;4;400;7402;157;mod faster
4;8;400;7296;289;mod faster
4;16;400;17536;797;mod faster
4;32;400;5496;3656;mod faster
4;64;400;38622;3986;mod faster
4;128;400;21307;15419;mod faster
4;256;400;253016;21986;mod faster
4;2;800;7760;171;mod faster
4;4;800;6137;293;mod faster
4;8;800;11139;531;mod faster
4;16;800;11511;1368;mod faster
4;32;800;5290;2466;mod faster
4;64;800;16906;5473;mod faster
4;128;800;242759;8880;mod faster
4;256;800;90980;15788;mod faster
4;2;1600;6898;254;mod faster
4;4;1600;6218;392;mod faster
4;8;1600;5694;797;mod faster
4;16;1600;5555;964;mod faster
4;32;1600;5778;5216;mod faster
4;64;1600;46803;8365;mod faster
4;128;1600;111365;11796;mod faster
4;256;1600;784069;27227;mod faster
4;2;3200;630;337;mod faster
4;4;3200;8117;338;mod faster
4;8;3200;7545;1061;mod faster
4;16;3200;5172;1813;mod faster
4;32;3200;42745;8276;mod faster
4;64;3200;238532;11740;mod faster
4;128;3200;533490;17577;mod faster
4;256;3200;1001378;28850;mod faster
4;2;6400;3866;306;mod faster
4;4;6400;10421;1204;mod faster
4;8;6400;16800;4548;mod faster
4;16;6400;30758;6122;mod faster
4;32;6400;191377;11179;mod faster
4;64;6400;372172;15739;mod faster
4;128;6400;2406640;45058;mod faster
4;256;6400;4804383;57056;mod faster
